ID,Name,Rank,Rarity_Score,Attributes,Backdrop,Backdrop Shape,Barnet,Body,Bodymod,Clothing,Collar,Cultural Artefact,Eyeware,Face,Face Accessory,Familiar,Groom,Hat,Hat Hair,Head Gear,Head Ornamentation,Heroes,Hood,Look,Mask,Name,Piercings,Special Figure,Special Head,Status,Tattoo
1197,VesselsGen0 #1197,1,9120.349416652107,4,,,Silver Hair,,,,,,,,,,,,,,,Silver ,,Happy,,Silver,,,,,
4075,VesselsGen0 #4075,2,8997.228810591501,4,,,,,,,Collar_6,,,,,,,,,,,Gabe,,Happy,,Gabe,,,,,
4279,VesselsGen0 #4279,3,8962.628065683764,4,,,Signature Forelock,,,,,,,,,,,,,,,Malfette,,Supergood,,Malfette,,,,,
4123,VesselsGen0 #4123,4,8642.415876777251,3,,,,,,,,,,,,,,,,,,Peter,,The Darkness,,Peter,,,,,
2609,VesselsGen0 #2609,5,8636.77614379085,3,,,,,,,,,,,,,,,,,,Red Armour,,The Blues,,Red Armour,,,,,
2815,VesselsGen0 #2815,5,8636.77614379085,3,,,,,,,,,,,,,,,,,,Green Armour,,The Blues,,Green Armour,,,,,
3233,VesselsGen0 #3233,5,8636.77614379085,3,,,,,,,,,,,,,,,,,,Akuma,,The Blues,,Akuma,,,,,
3240,VesselsGen0 #3240,8,5577.198175087432,9,Goodie Blue,,Cosmic,Gen-0_E,,Hoodie,,,,Nova,,Curling Cuddler,,,,,,,,Look [EMPTY],,Fischer,,,,,Tattoo_A
1194,VesselsGen0 #1194,9,5287.240411099005,9,Rising Heat,,Rainbow Hair,Gen-0_B,,Gen-0 Suit,,,,Grrrrrrrrrrrrrrrrrrr,,Taco,,,,,,,,Look [EMPTY],,Spiritus,,,,,Tattoo_B
4940,VesselsGen0 #4940,10,5245.662083056252,10,Icey,,Dreads,Gen-0_B,Face Palm,Biker Jacket,Collar_5,,,Female Face,,,,,,,,,,Look [EMPTY],,Yayuhe,,,,,Tattoo_E
4003,VesselsGen0 #4003,11,4742.472720876583,14,Goodie Blue,,Blondie,The Red Rage,Death Paint,BK Bunnies Jacket,Collar_7,,,Barfing Rainbows,Face_Accessory_Freckles,Familiar [EMPTY],,,,,MSKD Horns,,,Happy,,Kush,Piercings,,,,Tattoo_A
4801,VesselsGen0 #4801,12,4707.684682246524,11,Power Circle,,Cosmic,The Red Rage,Hunter Paint,Pink Tee,,,,Nova,,Curling Cuddler,,,,,,,,Happy,,Yory,Piercings,,,,Tattoo [EMPTY]
1876,VesselsGen0 #1876,13,4669.988954482455,10,Rising Heat,Shapeless [EMPTY],,,,Africa Dress,Collar_4,,,,,Pigmy Hooter,,,,,,,,Happy,,Figgy,Piercings,Bear Body,Bull,,
2885,VesselsGen0 #2885,14,4652.286200370655,10,Rising Heat,Square,,,,Neodandy,Collar [EMPTY],,,,,Go Go Tweet Tweet,,,,,,,,Supergood,,Hatfield,Piercings,Bear Body,Bear,,
2007,VesselsGen0 #2007,15,4601.782625203465,14,Love Mist,,Pretty Boy,Gen-0_B,Death Paint,BK Bunnies Jacket,Collar_8,,,Barfing Rainbows,Face Accessory [EMPTY],Omni Nibbler,,,,,MSKD Horns,,,Supergood,Monkey Mask,Suleng,,,,,Tattoo [EMPTY]
4840,VesselsGen0 #4840,16,4573.854429846569,8,Power Circle,,,,,Biker Jacket,,,,,,Bear Monster,,,,,Bunny Ears,,,Supergood,,Iaedyn,Piercings,Freaky,,,
2279,VesselsGen0 #2279,17,4498.842403201868,10,Goodie Blue,,,,,Betsy's Clothes,,,Cyclopian,,Face_Accessory_Freckles,Monster,,,,,,,,Supergood,,Uwosa,Piercings,Deep One,Fish Face,,
2351,VesselsGen0 #2351,18,4492.64852425578,8,Angel Wings,,,,,Blue Body Armour,,,,,,Go Go Tweet Tweet,,,,,,,,Supergood,,Tin'kelo,Piercings,Furry Yellow Body,Doom Gang Blue Biter,,
1205,VesselsGen0 #1205,19,4487.159824260794,8,Special Circle,,,,,Silver's Jacket,,,,,,Truffle Pig,,,,,,,,Happy,,Malaios,Piercings,Furry Yellow Body,Doom Gang Yellow Biter,,
2662,VesselsGen0 #2662,20,4485.367993644327,13,M O O N spells moon,,Silver Hair,Gen-0_E,Hunter Paint,Siberian Dress,Collar_7,,,Sideways Glance Female,Face_Accessory_Freckles,Skull Cat,,,,,,,,Supergood,Fox Mask,Larodash,,,,,Tattoo_E
2825,VesselsGen0 #2825,21,4475.940185822987,11,Fire,,,,,Nordic Dress,Collar_6,,Neonz Vizor,,,Aubi,,Hat [EMPTY],,,Head Ornament [EMPTY],,,Happy,,Roackryn,,Bear Body,Bear,,
3137,VesselsGen0 #3137,22,4465.47489826948,10,M O O N spells moon,,,,,Gillet,Collar_1,,,,,Taco,,Hat [EMPTY],,,Devil Horns,,,Supergood,,Miller,,Bear Body,Bear,,
4531,VesselsGen0 #4531,23,4462.212361132232,15,The Kraken Wakes,Circle,,Gen-0_A,The Thin Gold Line,Dungarees,,,NEONZ ARZ,Rage Face,Face Accessory [EMPTY],Monster,Groom [EMPTY],,I have lovely hair under this hat,,,,Hoody Up,Happy,,Dawson,,,,,Tattoo_C
2101,VesselsGen0 #2101,24,4462.168672269171,10,M O O N spells moon,,,,,Red Tee,Collar_1,,,,,Ice Scar,,Hat [EMPTY],,,Devil Horns,,,The Blues,,Bustard,,Bear Body,Bull,,
2582,VesselsGen0 #2582,25,4453.871849682162,11,Acid Green,,,,,Neodandy,Collar_8,,Neonz Specz,,,Aubi,,Hat [EMPTY],,,Devil Horns,,,Happy,,Phaisios,,Bear Body,Bear,,
4189,VesselsGen0 #4189,26,4452.020430509952,8,Special Circle,,,,,Africa Dress,,,,,,Monster,,,,,,,,Supergood,,Brooks,Piercings,Furry Yellow Body,King Of Furries ,,
3190,VesselsGen0 #3190,27,4450.5064876520555,11,Love Mist,Triangle,Cultured,Gen-0_B,,Kimono I,Collar_8,,,Female Face,,Bear Monster,,,,,,,,Supergood,,Iaoos,,,,,Tattoo [EMPTY]
248,VesselsGen0 #248,28,4450.01663711059,9,Goodie Blue,Triangle,Cultured,Gen-0_A,,Siberian Dress,,Siberian Artefact,,Grrrrrrrrrrrrrrrrrrr,,,,,,,,,,Supergood,,Toch,,,,,
3129,VesselsGen0 #3129,29,4440.864983406686,10,Power Circle,,,,,Red Tee,Collar_6,,,,,Go Go Tweet Tweet,,Hat [EMPTY],,,Head Ornament [EMPTY],,,The Blues,,Munu,,Bear Body,Bear,,
1027,VesselsGen0 #1027,30,4440.799815782832,10,M O O N spells moon,Triangle,,,,Malfette's Armour,Collar_3,,,,,Aubi,,,,,Devil Horns,,,Supergood,,Hatnywor,,Bear Body,Bull,,
2775,VesselsGen0 #2775,31,4437.528066475745,9,Mech,,,Golden Child,The Thin Gold Line,Pink Tee,,,,Rage Face,Face Accessory [EMPTY],Curling Cuddler,,Hat [EMPTY],,,,,,,,Atkinson,,,,,
312,VesselsGen0 #312,32,4437.419034362802,14,Fire,,Pretty Boy,Gen-0_E,Cyborg,MP Tigers Jacket,Collar_8,,,Barfing Rainbows,Face Accessory [EMPTY],Peep Oh,,,,,Head Ornament [EMPTY],,,Happy,Ravage Mask,Tonomth,,,,,Tattoo_C
1558,VesselsGen0 #1558,33,4434.421926758669,10,Rising Heat,,,,,Gillet,Collar_4,,,,,Ice Scar,,Hat [EMPTY],,,Devil Horns,,,Supergood,,Emestis,,Bear Body,Bull,,
1916,VesselsGen0 #1916,34,4433.546731191367,13,Angel Wings,,Rough Bob,Golden Child,Face Palm,Betsy's Clothes,Collar [EMPTY],,,Barfing Rainbows,Face Accessory [EMPTY],Monster,,,,,Devil Horns,,,Happy,,Ridul,,,,,Tattoo_D
3819,VesselsGen0 #3819,35,4431.389990290042,10,Blood Red,,,,,Red Tee,Collar_5,,,,,Aubi,,Hat [EMPTY],,,Devil Horns,,,The Blues,,Mathews,,Bear Body,Bear,,
4031,VesselsGen0 #4031,36,4427.563655490252,11,M O O N spells moon,,,,,Mech Armour White,Collar_5,,Neonz Vizor,,,Go Go Tweet Tweet,,Hat [EMPTY],,,Devil Horns,,,Happy,,Moran,,Bull Body,Bear,,
4758,VesselsGen0 #4758,37,4421.547571713406,14,The Deeps,Shapeless [EMPTY],Das Mohawk,Gen-0_B,Face Palm,Mech Armour White,,,I Can't See,Male Face,Eyepatch 1,Monster,Neo Dandy Beard,,,,,,,Happy,,Kohason,,,,,Tattoo [EMPTY]
2254,VesselsGen0 #2254,38,4421.2907875258115,10,Bling,,,,,Yellow Jumper,Collar_8,,,,,Ice Scar,,Hat [EMPTY],,,Devil Horns,,,Happy,,Pennington,,Bear Body,Bear,,
589,VesselsGen0 #589,39,4421.1862570769235,13,Angel Wings,,Rainbow Hair,The Red Rage,Bodymod [EMPTY],Mech Armour Black,Collar_8,,,Barfing Rainbows,Plaster,Peep Oh,,,,,MSKD Horns,,,Happy,,Shade,,,,,Tattoo_D
4380,VesselsGen0 #4380,40,4420.835641066313,8,Goodie Blue,,,,,Kimono I,,,,,,Go Go Tweet Tweet,,,,,,,,Supergood,,Denusk,Piercings,Ape Body,Obligatory Ape,,
1681,VesselsGen0 #1681,41,4420.402984270155,8,Heat Death Of The Universe,,,,,Malfette's Armour,,,,,,Curling Cuddler,,,,Headgear [EMPTY],Devil Horns,,,Happy,,Amore,,Freaky,,,
178,VesselsGen0 #178,42,4419.323536025703,10,Bling,,,,,MP Tigers Jacket,Collar [EMPTY],,,,,Pigmy Hooter,,Hat [EMPTY],,,Devil Horns,,,Happy,,Mcintosh,,Bear Body,Bull,,
2075,VesselsGen0 #2075,43,4417.562741264205,15,Acid Green,,,Gen-0_D,Face Palm,Gabe's Clothes,Collar_6,,I Can't See,Sideways Glance Male,Cheek Heart,Ice Scar,Neo Dandy Beard,Henry's,,,Cigar,,,Happy,,Banycia,,,,,Tattoo_B
965,VesselsGen0 #965,44,4416.168516049337,11,Special Circle,,,Golden Child,Hunter Paint,Tee_A,,,,Tazer Face,Eyepatch 1,,,Hat [EMPTY],Grey Hair,,ZIGGY,,,,,Payne,,,,,Tattoo_C
4445,VesselsGen0 #4445,45,4414.0003526541395,14,The Kraken Wakes,Circle,Curlz,Gen-0_D,Bodymod [EMPTY],BK Bunnies Jacket,Collar_6,,Cyclopian,Shrug Male,Face_Accessory_Freckles,Curling Cuddler,,,,,,,,Happy,,Beloitia,,,,,Tattoo_C
