ID,Name,Rank,Rarity_Score,Attributes,Background,Drums Track,Face,Foreground,Head,Melody Track,Music Track,Percussion Track
7,RARE PRIESTESS,1,1040.170391562892,4,,Drums #2,,,,Melody #1,Music #3,Percussion  #4
2000,RARE SHAMAN,2,1039.8434424471513,4,,Drums #6,,,,Melody #8,Music #5,Percussion  #4
1977,RARE BARBARIAN,3,1039.8422994870689,4,,Drums #10,,,,Melody #7,Music #8,Percussion  #5
11,RARE KNIGHT,4,1039.764054317215,4,,Drums #1,,,,Melody #2,Music #8,Percussion  #4
2,RARE KING,5,1039.5678961324372,4,,Drums #12,,,,Melody #4,Music #5,Percussion  #6
4415,ZIGGURATS #4415,6,204.72997309723928,8,Dark Doodles,Drums #12,Evil Animal,White Dirt,Red Curly,Melody #8,Music #3,Percussion  #1
40,ZIGGURATS #40,7,203.8503001280554,8,Dark Doodles,Drums #12,Smirk,Blank,Aqua Spaceman,Melody #1,Music #8,Percussion  #1
1895,ZIGGURATS #1895,8,203.385706834039,8,Dark Doodles,Drums #12,Common Skull,Blank,Aqua Spaceman,Melody #5,Music #7,Percussion  #1
2861,ZIGGURATS #2861,9,201.14068429292212,8,Light Doodles,Drums #8,Common Skull,Blank,Red Priest,Melody #2,Music #4,Percussion  #1
4322,ZIGGURATS #4322,10,200.9270782283815,8,Light Doodles,Drums #8,Bright Eyes,Blank,Red Priest,Melody #2,Music #5,Percussion  #2
3790,ZIGGURATS #3790,11,196.8878318080114,8,Dark Doodles,Drums #13,Smirk,Blank,Green Priest,Melody #3,Music #4,Percussion  #1
4807,ZIGGURATS #4807,12,192.27572240088534,8,Pink,Drums #1,Rare Skull,Spear,Aqua Spaceman,Melody #5,Music #6,Percussion  #1
4789,ZIGGURATS #4789,13,187.1157970733399,8,Red Green,Drums #12,Bandage,Blank,Red Priest,Melody #3,Music #5,Percussion  #5
1699,ZIGGURATS #1699,14,181.0250411984334,8,Light Doodles,Drums #4,Teeth Grit,Black Dirt,Green V,Melody #5,Music #3,Percussion  #7
931,ZIGGURATS #931,15,180.23477094125255,8,Pink,Drums #4,Rare Skull,Gold Chain,Blue Spaceman,Melody #8,Music #9,Percussion  #5
3245,ZIGGURATS #3245,16,178.76806531738742,8,Red Green,Drums #4,Bandage,Ice Vapor,Blue Shaved,Melody #4,Music #2,Percussion  #5
735,ZIGGURATS #735,17,178.67427219284045,8,Pink Aqua,Drums #1,Scowl,Grey Smoke,Aqua Spaceman,Melody #9,Music #9,Percussion  #4
1359,ZIGGURATS #1359,18,178.6136036691442,8,Pink Aqua,Drums #6,Smirk,Black Dirt,Aqua Spaceman,Melody #8,Music #7,Percussion  #5
2539,ZIGGURATS #2539,19,178.4234449681055,8,Pink,Drums #5,Bandage,Blank,Aqua Spaceman,Melody #8,Music #9,Percussion  #5
3841,ZIGGURATS #3841,20,178.07908571532545,8,Pink Rays,Drums #6,Bandage,Grey Smoke,Red Shaved,Melody #7,Music #2,Percussion  #6
4043,ZIGGURATS #4043,21,177.76227934430415,8,Dark Doodles,Drums #3,Smirk,Blank,Red Curly,Melody #4,Music #9,Percussion  #8
4988,ZIGGURATS #4988,22,176.8240489847267,8,Light Doodles,Drums #11,Smirk,Blank,Blue Shaved,Melody #7,Music #7,Percussion  #8
752,ZIGGURATS #752,23,176.51488000577064,8,Green,Drums #2,Rare Skull,Blank,Aqua Spaceman,Melody #3,Music #4,Percussion  #3
4333,ZIGGURATS #4333,24,176.50045245477216,8,Yellow,Drums #12,Sharp Teeth,Spear,Aqua Spaceman,Melody #6,Music #2,Percussion  #2
4337,ZIGGURATS #4337,25,176.05422452828174,8,Dots,Drums #7,Goggles,Blank,Aqua Spaceman,Melody #6,Music #5,Percussion  #7
4878,ZIGGURATS #4878,26,175.36316854519953,8,Dark Doodles,Drums #1,Evil Animal,Blank,Aqua Shaved,Melody #8,Music #5,Percussion  #5
3844,ZIGGURATS #3844,27,174.9173537630151,8,Waves,Drums #14,Bright Eyes,Grey Smoke,Aqua Spaceman,Melody #7,Music #4,Percussion  #4
2169,ZIGGURATS #2169,28,174.73009265605856,8,Waves,Drums #1,Animal Frown,Toxic Smoke,Aqua Spaceman,Melody #3,Music #1,Percussion  #3
4579,ZIGGURATS #4579,29,174.7164464077109,8,Pink Rays,Drums #2,Bright Eyes,Spear,Aqua Spaceman,Melody #4,Music #4,Percussion  #4
2528,ZIGGURATS #2528,30,174.04132481163919,8,Light Doodles,Drums #4,Sharp Teeth,Blank,Aqua Princess,Melody #1,Music #6,Percussion  #5
4273,ZIGGURATS #4273,31,174.01755467421668,8,Red Green,Drums #5,Goggles,Blank,Aqua Spaceman,Melody #3,Music #1,Percussion  #7
4179,ZIGGURATS #4179,32,173.95689319666872,8,Light Doodles,Drums #8,Animal Frown,Blank,Blue Curly,Melody #7,Music #4,Percussion  #3
1520,ZIGGURATS #1520,33,173.3615804048391,8,Aqua,Drums #8,Bandage,Blank,Green Priest,Melody #5,Music #2,Percussion  #2
4470,ZIGGURATS #4470,34,172.87916910528128,8,Light Doodles,Drums #7,Bright Eyes,Blank,Red Shaved,Melody #9,Music #7,Percussion  #6
3461,ZIGGURATS #3461,35,172.81079143766448,8,Light Doodles,Drums #11,Goggles,Blank,Aqua Spiky,Melody #7,Music #9,Percussion  #6
2607,ZIGGURATS #2607,36,172.71793804602535,8,Dark Doodles,Drums #7,Common Skull,Blank,Blue Curly,Melody #4,Music #9,Percussion  #3
2265,ZIGGURATS #2265,37,172.5025068304066,8,Green,Drums #13,Rare Skull,Blank,Red Priest,Melody #3,Music #1,Percussion  #5
2542,ZIGGURATS #2542,38,172.35902777815045,8,Light Doodles,Drums #11,Smirk,Blank,Aqua Curly,Melody #7,Music #9,Percussion  #8
3808,ZIGGURATS #3808,39,171.929754091409,8,Light Doodles,Drums #7,Scowl,Blank,Red Spiky,Melody #4,Music #3,Percussion  #5
2851,ZIGGURATS #2851,40,171.70175370698587,8,Light Doodles,Drums #2,Bright Eyes,Blank,Aqua Curly,Melody #7,Music #1,Percussion  #3
1836,ZIGGURATS #1836,41,171.66158035816608,8,Waves,Drums #6,Smirk,Toxic Smoke,Red Priest,Melody #5,Music #9,Percussion  #4
3604,ZIGGURATS #3604,42,171.4353201360318,8,Pink Rays,Drums #10,Evil Animal,Gold Chain,Aqua Spaceman,Melody #7,Music #9,Percussion  #2
3699,ZIGGURATS #3699,43,171.03819488180727,8,Dark Doodles,Drums #7,Common Skull,Flies,Red Spiky,Melody #9,Music #6,Percussion  #3
